elfFirstNameMaleSyllable1;elfFirstNameMaleSyllable2;elfFirstNameMaleSyllable3;elfFirstNameMaleSyllable4;elfFirstNameMaleSyllable5;elfFirstNameFemaleSyllable1;elfFirstNameFemaleSyllable2;elfFirstNameFemaleSyllable3;elfFirstNameFemaleSyllable4;elfFirstNameFemaleSyllable5;elfLastNameSyllable1;elfLastNameSyllable2;elfLastNameSyllable3;elfLastNameSyllable4;elfLastNameSyllable5
pa;e;li;;as;ba;e;li;ta;e;a;mas;ta;ci;a
e;ni;a;;lis;a;nas;tri;an;na;e;a;tha;le;na
i;vel;li;;os;al;tha;e;;a;ca;sill;te;nir;ra
the;ri;a;;tas;dru;si;li;;a;ga;la;no;;del
ber;ri;;;an;va;da;ni;;a;si;an;no;;del
lau;ci;;;an;ie;le;ni;;a;mel;le;rel;;el
va;nu;;;ath;an;ti;nu;;a;xi;los;sci;;ent
ga;linn;;;dan;ya;na;phi;;a;e;re;na;;eth
ri;ar;;;don;fe;lo;si;;al;a;ma;ki;;ir
ca;el;;;drim;sha;na;ir;;la;il;phel;ki;;ir
nu;ta;;;e;me;ri;e;;le;ar;nu;an;;na
su;na;;;e;ti;a;ath;;que;ko;eh;lan;;na
ah;va;;;in;na;i;va;;ra;til;ta;tha;;na
a;za;;;ki;my;a;the;;thil;i;a;thra;;na
dre;a;;;li;the;i;ras;;tra;me;li;am;;ne
so;vel;;;liss;cha;e;;;di;ca;er;do;;nel
u;the;;;mar;ha;ta;;;e;ho;li;mi;;on
ha;linn;;;math;sa;ri;;;el;i;ra;na;;pha
a;ra;;;mil;thi;a;;;la;se;le;va;;run
a;ran;;;nis;mi;a;;;lee;su;i;thra;;sas
qua;ri;;;on;jar;sa;;;li;e;tha;na;;sath
tha;mi;;;or;e;la;;;ma;a;ri;es;;sus
ha;dan;;;rai;que;len;;;na;te;i;ni;;thra
im;me;;;ral;le;shan;;;na;net;yo;i;;ve
da;ye;;;reth;be;thryn;;;na;li;a;;;don
ef;fe;;;ril;a;hi;;;nar;ya;el;;;drin
be;i;;;ro;je;len;;;neth;o;fan;;;drus
min;dar;;;tis;i;la;;;nis;fi;ra;;;hel
e;re;;;van;si;la;;;qui;la;tha;;;las
ei;ra;;;vel;cla;i;;;ra;mys;tra;;;lath
tha;ri;;;vol;a;ra;;;ra;ha;na;;;li
a;;;;dran;ri;da;;;ro;na;i;;;lo
ae;;;;lar;an;dras;;;te;ro;the;;;nel
aer;;;;deth;ma;ia;;;thah;ho;ri;;;neth
aust;;;;ust;quil;la;;;the;o;thro;;;nus
car;;;;ric;va;lan;;;the;gol;to;;;rah
er;;;;dan;li;;;;a;syl;va;;;ranth
fi;;;;vin;a;;;;drie;fa;sha;;;rash
gen;;;;nal;trau;;;;lam;a;lo;;;ro
hei;;;;an;key;;;;leth;os;to;;;roth
hi;;;;mo;cae;;;;lynn;da;lan;;;than
kor;;;;fel;en;;;;na;wa;san;;;thi
lam;;;;lis;val;;;;na;wi;thre;;;thin
lu;;;;can;sum;;;;nes;qua;lan;;;thri
na;;;;al;mal;;;;quis;be;re;;;van
pe;;;;ren;da;;;;ra;ca;pha;;;xath
ro;;;;len;fa;;;;ral;cith;;;;reth
the;;;;ren;i;;;;rann;flo;;;;shem
ther;;;;van;bi;;;;rel;rae;;;;thran
va;;;;ris;sha;;;;va;xist;;;;rith