tieflingFirstNameMaleSyllable1;tieflingFirstNameMaleSyllable2;tieflingFirstNameMaleSyllable3;tieflingFirstNameMaleSyllable4;tieflingFirstNameMaleSyllable5;tieflingFirstNameFemaleSyllable1;tieflingFirstNameFemaleSyllable2;tieflingFirstNameFemaleSyllable3;tieflingFirstNameFemaleSyllable4;tieflingFirstNameFemaleSyllable5
a;de;i;;os;a;ca;an;bi;a
ah;ke;;;an;a;de;i;;a
ak;la;;;mon;ak;dre;i;;a
am;la;;;far;ar;e;i;;a
an;ma;;;kos;as;el;ra;;a
as;mu;;;el;az;ka;ri;;a
ba;ra;;;kas;be;ko;ri;;a
ba;ra;;;i;bry;la;si;;an
ba;ri;;;ax;bu;lis;;;ax
ca;sa;;;go;cri;ma;;;be
chem;;;;bad;da;ma;;;beth
ci;;;;rim;de;me;;;cat
cres;;;;men;e;mo;;;dit
da;;;;non;ga;na;;;el
e;;;;dram;go;ne;;;is
eu;;;;tar;he;no;;;ja
fen;;;;lam;ish;pe;;;kis
for;;;;thin;je;pu;;;la
ha;;;;im;ka;ri;;;la
ia;;;;em;kal;ris;;;leth
kai;;;;mer;kas;se;;;li
leu;;;;sel;le;ste;;;lith
mam;;;;ron;li;ta;;;ma
man;;;;riz;ma;ya;;;mah
mar;;;;cas;ma;ze;;;met
me;;;;bor;ma;;;;na
meri;;;;dos;mar;;;;ne
mo;;;;ron;naa;;;;ne
mor;;;;cis;ne;;;;par
mor;;;;nen;ni;;;;ra
mor;;;;tus;o;;;;ra
ni;;;;bas;o;;;;rah
nir;;;;lech;phe;;;;rath
o;;;;him;pros;;;;re
pay;;;;dai;pu;;;;rin
pe;;;;mo;py;;;;ro
pur;;;;thos;ri;;;;ry
qe;;;;cor;ro;;;;sa
ra;;;;gel;ron;;;;sah
rim;;;;mon;sed;;;;ta
sam;;;;son;see;;;;ta
ska;;;;am;sekh;;;;ta
te;;;;mon;sem;;;;te
tha;;;;mal;sha;;;;va
the;;;;mos;shax;;;;we
va;;;;thren;so;;;;ya
vas;;;;muz;uz;;;;ym
xap;;;;pan;va;;;;za
ze;;;;par;ve;;;;za
ze;;;;phan;ve;;;;za